region,colour/name,year,stars,notes,entered by
Bordeaux,White,1952,3,,HNE
Bordeaux,White,1961,3,,HNE
Bordeaux,White,1966,3,,HNE
Bordeaux,White,1971,5,,HNE
Bordeaux,White,1975,5,,HNE
Bordeaux,White,1983,5,,HNE
Bordeaux,White,1989,5,,HNE
Bordeaux,White,1976,4,,HNE
Bordeaux,White,1985,4,(v),HNE
Bordeaux,White,1986,4,,HNE
Bordeaux,White,1988,4,,HNE
Bordeaux,White,1970,3,,HNE
Bordeaux,White,1979,3,,HNE
Bordeaux,White,1982,3,,HNE
Bordeaux,White,1990,5,,HNE
Bordeaux,White,1996,5,,HNE
Bordeaux,White,1995,4,,HNE
Bordeaux,White,1997,4,,HNE
Bordeaux,White,1998,4,,HNE
Bordeaux,White,1999,4,,HNE
Bordeaux,White,2000,3,(v),HNE
Bordeaux,White,2001,5,,HNE
Burgundy,Red,1811,5,,HNE
Burgundy,Red,1846,5,,HNE
Burgundy,Red,1865,5,,HNE
Burgundy,Red,1876,5,,HNE
Burgundy,Red,1802,4,,HNE
Burgundy,Red,1806,4,,HNE
Burgundy,Red,1815,4,,HNE
Burgundy,Red,1819,4,,HNE
Burgundy,Red,1822,4,,HNE
Burgundy,Red,1825,4,,HNE
Burgundy,Red,1834,4,,HNE
Burgundy,Red,1848,4,,HNE
Burgundy,Red,1859,4,,HNE
Burgundy,Red,1864,4,,HNE
Burgundy,Red,1869,4,,HNE
Burgundy,Red,1870,4,,HNE
Burgundy,Red,1878,4,,HNE
Burgundy,Red,1887,4,,HNE
Burgundy,Red,1858,3,,HNE
Burgundy,Red,1877,3,,HNE
Burgundy,Red,1885,3,,HNE
Burgundy,Red,1886,3,,HNE
Burgundy,Red,1893,3,,HNE
Burgundy,Red,1894,3,,HNE
Burgundy,Red,1898,3,,HNE
Burgundy,Red,1906,5,,HNE
Burgundy,Red,1911,5,,HNE
Burgundy,Red,1915,5,,HNE
Burgundy,Red,1919,5,,HNE
Burgundy,Red,1929,5,,HNE
Burgundy,Red,1904,4,,HNE
Burgundy,Red,1920,4,,HNE
Burgundy,Red,1923,4,,HNE
Burgundy,Red,1926,4,,HNE
Burgundy,Red,1928,4,,HNE
Burgundy,Red,1914,3,,HNE
Burgundy,Red,1916,3,,HNE
Burgundy,Red,1918,3,,HNE
Burgundy,Red,1921,3,,HNE
Burgundy,Red,1924,3,,HNE
Burgundy,Red,1937,5,,HNE
Burgundy,Red,1945,5,,HNE
Burgundy,Red,1949,5,,HNE
Burgundy,Red,1833,4,,HNE
Burgundy,Red,1934,4,,HNE
Burgundy,Red,1943,4,,HNE
Burgundy,Red,1947,4,,HNE
Burgundy,Red,1935,3,,HNE
Burgundy,Red,1942,3,,HNE
Burgundy,Red,1959,5,,HNE
Burgundy,Red,1962,5,,HNE
Burgundy,Red,1969,5,,HNE
Burgundy,Red,1952,4,,HNE
Burgundy,Red,1953,4,,HNE
Burgundy,Red,1961,4,(v),HNE
Burgundy,Red,1964,4,,HNE
Burgundy,Red,1966,4,,HNE
Burgundy,Red,1955,3,,HNE
Burgundy,Red,1957,3,,HNE
Burgundy,Red,1978,5,,HNE
Burgundy,Red,1985,5,,HNE
Burgundy,Red,1988,5,,HNE
Burgundy,Red,1971,4,,HNE
Burgundy,Red,1986,4,,HNE
Burgundy,Red,1989,4,,HNE
Burgundy,Red,1972,3,,HNE
Burgundy,Red,1976,3,,HNE
Burgundy,Red,1979,3,,HNE
Burgundy,Red,1980,3,(v),HNE
Burgundy,Red,1983,3,(v),HNE
Burgundy,Red,1987,3,,HNE
Burgundy,Red,1990,5,,HNE
Burgundy,Red,1999,5,,HNE
Burgundy,Red,1993,4,,HNE
Burgundy,Red,1995,4,,HNE
Burgundy,Red,1996,4,,HNE
Burgundy,Red,1997,4,,HNE
Burgundy,Red,1998,4,,HNE
Burgundy,Red,1992,3,,HNE
Burgundy,Red,1994,3,(v),HNE
Burgundy,Red,2000,3,,HNE
Burgundy,White,1864,5,,HNE
Burgundy,White,1865,5,,HNE
Burgundy,White,1906,5,,HNE
Burgundy,White,1928,5,,HNE
Burgundy,White,1947,5,,HNE
Burgundy,White,1899,4,,HNE
Burgundy,White,1919,4,,HNE
Burgundy,White,1923,4,,HNE
Burgundy,White,1929,4,,HNE
Burgundy,White,1934,4,,HNE
Burgundy,White,1937,4,,HNE
Burgundy,White,1945,4,,HNE
Burgundy,White,1949,4,,HNE
Burgundy,White,1941,3,,HNE
Burgundy,White,1962,5,,HNE
Burgundy,White,1966,5,,HNE
Burgundy,White,1952,4,,HNE
Burgundy,White,1953,4,,HNE
Burgundy,White,1955,4,,HNE
Burgundy,White,1961,4,,HNE
Burgundy,White,1967,4,,HNE
Burgundy,White,1969,4,,HNE
Burgundy,White,1971,4,,HNE
Burgundy,White,1973,4,,HNE
Burgundy,White,1976,4,,HNE
Burgundy,White,1978,4,,HNE
Burgundy,White,1979,4,,HNE
Burgundy,White,1950,3,,HNE
Burgundy,White,1957,3,,HNE
Burgundy,White,1959,3,,HNE
Burgundy,White,1964,3,,HNE
Burgundy,White,1970,3,,HNE
Burgundy,White,1986,5,(v),HNE
Burgundy,White,1989,5,(v),HNE
Burgundy,White,1996,5,,HNE
Burgundy,White,1997,5,,HNE
Burgundy,White,1982,4,(v),HNE
Burgundy,White,1983,4,,HNE
Burgundy,White,1985,4,(v),HNE
Burgundy,White,1990,4,(v),HNE
Burgundy,White,1995,4,,HNE
Burgundy,White,1998,4,,HNE
Burgundy,White,1999,4,,HNE
Burgundy,White,1988,3,,HNE
Burgundy,White,1991,3,(v),HNE
Burgundy,White,1992,3,,HNE
Burgundy,White,1993,3,(v),HNE
Burgundy,White,1994,3,(v),HNE
Burgundy,White,2000,3,,HNE
Northern Rhone,Red,1929,5,,HNE
Northern Rhone,Red,1945,5,,HNE
Northern Rhone,Red,1949,5,,HNE
Northern Rhone,Red,1959,5,,HNE
Northern Rhone,Red,1961,5,,HNE
Northern Rhone,Red,1969,5,,HNE
Northern Rhone,Red,1971,5,,HNE
Northern Rhone,Red,1933,4,,HNE
Northern Rhone,Red,1937,4,,HNE
Northern Rhone,Red,1943,4,,HNE
Northern Rhone,Red,1947,4,,HNE
Northern Rhone,Red,1952,4,,HNE
Northern Rhone,Red,1953,4,,HNE
Northern Rhone,Red,1955,4,,HNE
Northern Rhone,Red,1957,4,,HNE
Northern Rhone,Red,1962,4,,HNE
Northern Rhone,Red,1962,4,,HNE
Northern Rhone,Red,1964,4,,HNE
Northern Rhone,Red,1966,4,,HNE
Northern Rhone,Red,1967,4,,HNE
Northern Rhone,Red,1970,4,,HNE
Northern Rhone,Red,1972,4,(v),HNE
Northern Rhone,Red,1934,3,,HNE
Northern Rhone,Red,1942,3,,HNE
Northern Rhone,Red,1976,3,(v),HNE
Southern Rhone,Red,1929,5,,HNE
Southern Rhone,Red,1945,5,,HNE
Southern Rhone,Red,1949,5,,HNE
Southern Rhone,Red,1952,5,,HNE
Southern Rhone,Red,1959,5,,HNE
Southern Rhone,Red,1961,5,,HNE
Southern Rhone,Red,1970,5,,HNE
Southern Rhone,Red,1934,4,,HNE
Southern Rhone,Red,1937,4,,HNE
Southern Rhone,Red,1947,4,,HNE
Southern Rhone,Red,1955,4,,HNE
Southern Rhone,Red,1957,4,,HNE
Southern Rhone,Red,1962,4,,HNE
Southern Rhone,Red,1967,4,,HNE
Southern Rhone,Red,1964,4,,HNE
Southern Rhone,Red,1969,4,,HNE
Southern Rhone,Red,1971,4,,HNE
Southern Rhone,Red,1939,3,,HNE
Southern Rhone,Red,1944,3,,HNE
Southern Rhone,Red,1953,3,,HNE
Southern Rhone,Red,1966,3,,HNE
Southern Rhone,Red,1972,3,(v),HNE
Northern Rhone,Red,1978,5,,HNE
Northern Rhone,Red,1983,5,,HNE
Northern Rhone,Red,1985,5,,HNE
Northern Rhone,Red,1900,5,,HNE
Northern Rhone,Red,1998,5,,HNE
Northern Rhone,Red,1999,5,,HNE
Northern Rhone,Red,1979,4,,HNE
Northern Rhone,Red,1982,4,,HNE
Northern Rhone,Red,1988,4,,HNE
Northern Rhone,Red,1989,4,,HNE
Northern Rhone,Red,1995,4,,HNE
Northern Rhone,Red,1981,3,(v),HNE
Northern Rhone,Red,1986,3,(v),HNE
Northern Rhone,Red,1991,3,,HNE
Northern Rhone,Red,1992,3,(v),HNE
Northern Rhone,Red,1996,3,(v),HNE
Northern Rhone,Red,1997,3,,HNE
Southern Rhone,Red,1978,5,,HNE
Southern Rhone,Red,1983,5,,HNE
Southern Rhone,Red,1985,5,,HNE
Southern Rhone,Red,1989,5,,HNE
Southern Rhone,Red,1990,5,,HNE
Southern Rhone,Red,1995,5,,HNE
Southern Rhone,Red,1998,5,,HNE
Southern Rhone,Red,1982,4,,HNE
Southern Rhone,Red,1999,4,,HNE
Southern Rhone,Red,1979,3,,HNE
Southern Rhone,Red,1980,3,,HNE
Southern Rhone,Red,1981,3,(v),HNE
Southern Rhone,Red,1986,3,(v),HNE
Southern Rhone,Red,1988,3,,HNE
Southern Rhone,Red,1992,3,(v),HNE
Southern Rhone,Red,1996,3,(v),HNE
Southern Rhone,Red,1997,3,,HNE
Southern Rhone,Red,2000,3,,HNE
Northern Rhone,Red,2000,3,,HNE
Loire,Sweet,1928,5,,HNE
Loire,Sweet,1937,5,,HNE
Loire,Sweet,1947,5,,HNE
Loire,Sweet,1949,5,,HNE
Loire,Sweet,1959,5,,HNE
Loire,Sweet,1934,4,,HNE
Loire,Sweet,1945,4,,HNE
Loire,Sweet,1933,3,,HNE
Loire,Sweet,1953,3,,HNE
Loire,Sweet,1955,3,,HNE
Loire,Sweet,1964,5,,HNE
Loire,Sweet,1989,5,,HNE
Loire,Sweet,1962,4,,HNE
Loire,Sweet,1971,4,,HNE
Loire,Sweet,1976,4,,HNE
Loire,Sweet,1985,4,,HNE
Loire,Sweet,1986,4,,HNE
Loire,Sweet,1988,4,,HNE
Loire,Sweet,1966,3,,HNE
Loire,Sweet,1969,3,,HNE
Loire,Sweet,1975,3,,HNE
Loire,Sweet,1978,3,,HNE
Loire,Sweet,1982,3,,HNE
Loire,Mulltiple,1990,5,,HNE
Loire,Mulltiple,1997,5,,HNE
Loire,Mulltiple,1995,4,,HNE
Loire,Mulltiple,1996,4,,HNE
Loire,Mulltiple,1993,3,,HNE
Loire,Mulltiple,1998,3,(v),HNE
Loire,Mulltiple,1999,3,,HNE
Loire,Mulltiple,2000,3,,HNE
Alsace,not sure,1865,5,,HNE
Alsace,not sure,1900,5,,HNE
Alsace,not sure,1937,5,,HNE
Alsace,not sure,1945,5,,HNE
Alsace,not sure,1959,5,,HNE
Alsace,not sure,1961,5,,HNE
Alsace,not sure,1921,4,,HNE
Alsace,not sure,1928,4,,HNE
Alsace,not sure,1934,4,,HNE
Alsace,not sure,1964,4,,HNE
Alsace,not sure,1967,4,,HNE
Alsace,not sure,1935,3,,HNE
Alsace,not sure,1953,3,,HNE
Alsace,not sure,1966,3,,HNE
Alsace,not sure,1971,5,,HNE
Alsace,not sure,1976,5,,HNE
Alsace,not sure,1983,5,,HNE
Alsace,not sure,1988,5,(v),HNE
Alsace,not sure,1989,5,,HNE
Alsace,not sure,1981,4,,HNE
Alsace,not sure,1985,4,,HNE
Alsace,not sure,1986,4,(v),HNE
Alsace,not sure,1975,3,,HNE
Alsace,not sure,1990,5,,HNE
Alsace,not sure,1995,5,(v),HNE
Alsace,not sure,1997,5,,HNE
Alsace,not sure,1992,4,(v),HNE
Alsace,not sure,1993,4,,HNE
Alsace,not sure,1996,4,,HNE
Alsace,not sure,1998,4,,HNE
Alsace,not sure,1994,3,(v),HNE
Alsace,not sure,1999,3,(v),HNE
Alsace,not sure,2000,4,(v),HNE
Germany,White,1748,5,,HNE
Germany,White,1749,5,,HNE
Germany,White,1811,5,,HNE
Germany,White,1822,5,,HNE
Germany,White,1831,5,,HNE
Germany,White,1834,5,,HNE
Germany,White,1846,5,,HNE
Germany,White,1847,5,,HNE
Germany,White,1857,5,,HNE
Germany,White,1858,5,,HNE
Germany,White,1861,5,,HNE
Germany,White,1865,5,,HNE
Germany,White,1869,5,,HNE
Germany,White,1893,5,,HNE
Germany,White,1727,4,,HNE
Germany,White,1738,4,,HNE
Germany,White,1746,4,,HNE
Germany,White,1750,4,,HNE
Germany,White,1779,4,,HNE
Germany,White,1781,4,,HNE
Germany,White,1783,4,,HNE
Germany,White,1794,4,,HNE
Germany,White,1798,4,,HNE
Germany,White,1806,4,,HNE
Germany,White,1807,4,,HNE
Germany,White,1825,4,,HNE
Germany,White,1826,4,,HNE
Germany,White,1827,4,,HNE
Germany,White,1842,4,Likely an error in the book. Listed as 1942,HNE
Germany,White,1859,4,Likely an error in the book. Should be 1959?,HNE
Germany,White,1862,4,,HNE
Germany,White,1880,4,,HNE
Germany,White,1886,4,,HNE
Germany,White,1911,5,,HNE
Germany,White,1921,5,,HNE
Germany,White,1937,5,,HNE
Germany,White,1904,4,,HNE
Germany,White,1915,4,,HNE
Germany,White,1917,4,,HNE
Germany,White,1920,4,,HNE
Germany,White,1929,4,,HNE
Germany,White,1934,4,,HNE
Germany,White,1900,3,,HNE
Germany,White,1901,3,,HNE
Germany,White,1905,3,,HNE
Germany,White,1907,3,,HNE
Germany,White,1926,3,,HNE
Germany,White,1945,5,,HNE
Germany,White,1949,5,,HNE
Germany,White,1953,5,,HNE
Germany,White,1959,5,,HNE
Germany,White,1947,4,,HNE
Germany,White,1942,3,(v),HNE
Germany,White,1943,3,,HNE
Germany,White,1946,3,,HNE
Germany,White,1952,3,,HNE
Germany,White,1967,5,(v),HNE
Germany,White,1971,5,,HNE
Germany,White,1973,5,(v),HNE
Germany,White,1963,4,,HNE
Germany,White,1975,4,,HNE
Germany,White,1976,4,,HNE
Germany,White,1961,3,(v),HNE
Germany,White,1963,3,(v),HNE
Germany,White,1966,3,,HNE
Germany,White,1969,3,,HNE
Germany,White,1970,3,,HNE
Germany,White,1979,3,,HNE
Germany,White,1983,4,,HNE
Germany,White,1988,4,,HNE
Germany,White,1989,4,(v),HNE
Germany,White,1985,3,,HNE
Germany,White,1986,3,(v),HNE
Germany,White,1990,5,,HNE
Germany,White,1993,5,(v),HNE
Germany,White,1992,4,(v),HNE
Germany,White,1994,4,(v),HNE
Germany,White,1995,4,(v),HNE
Germany,White,1996,4,(v),HNE
Germany,White,1997,4,,HNE
Germany,White,1998,4,,HNE
Germany,White,1999,4,,HNE
Germany,White,1991,3,(v),HNE
Germany,White,2000,3,(v),HNE
Germany,White,2001,4,,HNE
Piedmont Italy,Red,1947,5,,HNE
Piedmont Italy,Red,1958,5,,HNE
Piedmont Italy,Red,1959,5,,HNE
Piedmont Italy,Red,1961,5,,HNE
Piedmont Italy,Red,1964,5,,HNE
Piedmont Italy,Red,1971,5,,HNE
Piedmont Italy,Red,1974,5,,HNE
Piedmont Italy,Red,1978,5,,HNE
Piedmont Italy,Red,1945,4,,HNE
Piedmont Italy,Red,1952,4,,HNE
Piedmont Italy,Red,1967,4,,HNE
Piedmont Italy,Red,1970,4,,HNE
Piedmont Italy,Red,1949,3,,HNE
Piedmont Italy,Red,1955,3,,HNE
Piedmont Italy,Red,1962,3,,HNE
Piedmont Italy,Red,1968,3,,HNE
Piedmont Italy,Red,1969,3,,HNE
Piedmont Italy,Red,1979,3,,HNE
Tuscany Italy,Red,1947,5,,HNE
Tuscany Italy,Red,1962,5,,HNE
Tuscany Italy,Red,1964,5,,HNE
Tuscany Italy,Red,1967,5,,HNE
Tuscany Italy,Red,1971,5,,HNE
Tuscany Italy,Red,1978,5,,HNE
Tuscany Italy,Red,1945,4,,HNE
Tuscany Italy,Red,1955,4,,HNE
Tuscany Italy,Red,1968,4,,HNE
Tuscany Italy,Red,1975,4,(v),HNE
Tuscany Italy,Red,1977,4,,HNE
Tuscany Italy,Red,1979,4,,HNE
Tuscany Italy,Red,1949,3,,HNE
Tuscany Italy,Red,1952,3,,HNE
Tuscany Italy,Red,1958,3,,HNE
Tuscany Italy,Red,1959,3,,HNE
Tuscany Italy,Red,1961,3,,HNE
Tuscany Italy,Red,1970,3,,HNE
Tuscany Italy,Red,1973,3,,HNE
Piedmont Italy,Red,1982,5,,HNE
Piedmont Italy,Red,1985,5,,HNE
Piedmont Italy,Red,1988,5,,HNE
Piedmont Italy,Red,1990,5,,HNE
Piedmont Italy,Red,1997,5,,HNE
Piedmont Italy,Red,1986,4,,HNE
Piedmont Italy,Red,1989,4,,HNE
Piedmont Italy,Red,1996,4,,HNE
Piedmont Italy,Red,1999,4,,HNE
Piedmont Italy,Red,1983,3,,HNE
Piedmont Italy,Red,1987,3,(v),HNE
Piedmont Italy,Red,1993,3,(v),HNE
Piedmont Italy,Red,1995,3,,HNE
Piedmont Italy,Red,1998,3,(v),HNE
Tuscany Italy,Red,1982,5,,HNE
Tuscany Italy,Red,1985,5,,HNE
Tuscany Italy,Red,1988,5,,HNE
Tuscany Italy,Red,1990,5,,HNE
Tuscany Italy,Red,1995,5,(v),HNE
Tuscany Italy,Red,1997,5,,HNE
Tuscany Italy,Red,1986,4,,HNE
Tuscany Italy,Red,1994,4,(v),HNE
Tuscany Italy,Red,1996,4,,HNE
Tuscany Italy,Red,1999,4,,HNE
Tuscany Italy,Red,1981,3,,HNE
Tuscany Italy,Red,1983,3,,HNE
Tuscany Italy,Red,1987,3,(v),HNE
Tuscany Italy,Red,1989,3,(v),HNE
Tuscany Italy,Red,1993,3,(v),HNE
Tuscany Italy,Red,1998,3,(v),HNE
Tuscany Italy,Red,2000,4,,HNE
Piedmont Italy,Red,2000,4,,HNE
Tokaji,White,1834,5,,HNE
Tokaji,White,1885,5,,HNE
Tokaji,White,1900,5,,HNE
Tokaji,White,1912,5,,HNE
Tokaji,White,1924,5,,HNE
Tokaji,White,1937,5,,HNE
Tokaji,White,1945,5,,HNE
Tokaji,White,1811,4,,HNE
Tokaji,White,1876,4,,HNE
Tokaji,White,1901,4,,HNE
Tokaji,White,1904,4,,HNE
Tokaji,White,1906,4,,HNE
Tokaji,White,1935,4,,HNE
Tokaji,White,1865,3,,HNE
Tokaji,White,1917,3,,HNE
Tokaji,White,1943,3,,HNE
Tokaji,White,1947,5,,HNE
Tokaji,White,1952,5,,HNE
Tokaji,White,1957,5,,HNE
Tokaji,White,1963,5,,HNE
Tokaji,White,1968,5,,HNE
Tokaji,White,1972,5,,HNE
Tokaji,White,1983,5,,HNE
Tokaji,White,1961,4,,HNE
Tokaji,White,1964,4,,HNE
Tokaji,White,1975,4,,HNE
Tokaji,White,1981,4,,HNE
Tokaji,White,1988,4,,HNE
Tokaji,White,1956,3,,HNE
Tokaji,White,1973,3,,HNE
Tokaji,White,1993,5,,HNE
Tokaji,White,1999,5,,HNE
Tokaji,White,1991,4,,HNE
Tokaji,White,1992,4,,HNE
Tokaji,White,1996,4,,HNE
Tokaji,White,1990,3,,HNE
Tokaji,White,1997,3,,HNE
Tokaji,White,2000,5,,HNE
Champagne,White,1857,5,,HNE
Champagne,White,1874,5,,HNE
Champagne,White,1892,5,,HNE
Champagne,White,1899,5,,HNE
Champagne,White,1904,5,,HNE
Champagne,White,1911,5,,HNE
Champagne,White,1870,4,,HNE
Champagne,White,1914,4,,HNE
Champagne,White,1915,3,,HNE
Champagne,White,1919,3,,HNE
Champagne,White,1920,5,,HNE
Champagne,White,1921,5,,HNE
Champagne,White,1928,5,,HNE
Champagne,White,1937,5,,HNE
Champagne,White,1923,4,,HNE
Champagne,White,1929,4,,HNE
Champagne,White,1934,4,,HNE
Champagne,White,1943,4,,HNE
Champagne,White,1926,3,,HNE
Champagne,White,1942,3,,HNE
Champagne,White,1945,5,,HNE
Champagne,White,1952,5,,HNE
Champagne,White,1959,5,,HNE
Champagne,White,1964,5,,HNE
Champagne,White,1971,5,,HNE
Champagne,White,1947,4,,HNE
Champagne,White,1949,4,,HNE
Champagne,White,1953,4,,HNE
Champagne,White,1955,4,,HNE
Champagne,White,1961,4,,HNE
Champagne,White,1962,4,,HNE
Champagne,White,1966,4,,HNE
Champagne,White,1970,4,,HNE
Champagne,White,1976,4,,HNE
Champagne,White,1979,4,,HNE
Champagne,White,1969,3,,HNE
Champagne,White,1973,3,,HNE
Champagne,White,1975,3,,HNE
Champagne,White,1982,5,,HNE
Champagne,White,1985,5,,HNE
Champagne,White,1988,5,,HNE
Champagne,White,1990,5,,HNE
Champagne,White,1996,5,,HNE
Champagne,White,1981,4,,HNE
Champagne,White,1989,4,,HNE
Champagne,White,1992,4,(v),HNE
Champagne,White,1995,4,,HNE
Champagne,White,1997,4,,HNE
Champagne,White,1998,4,,HNE
Champagne,White,1999,4,,HNE
Champagne,White,1983,3,,HNE
Champagne,White,1986,3,(v),HNE
Champagne,White,1993,3,,HNE
Port,Unclear,1811,5,,HNE
Port,Unclear,1834,5,,HNE
Port,Unclear,1847,5,,HNE
Port,Unclear,1863,5,,HNE
Port,Unclear,1870,5,,HNE
Port,Unclear,1878,5,,HNE
Port,Unclear,1884,5,,HNE
Port,Unclear,1815,4,,HNE
Port,Unclear,1851,4,,HNE
Port,Unclear,1853,4,,HNE
Port,Unclear,1868,4,,HNE
Port,Unclear,1875,4,,HNE
Port,Unclear,1896,4,,HNE
Port,Unclear,1897,4,,HNE
Port,Unclear,1820,3,,HNE
Port,Unclear,1837,3,,HNE
Port,Unclear,1840,3,,HNE
Port,Unclear,1854,3,,HNE
Port,Unclear,1858,3,,HNE
Port,Unclear,1869,3,,HNE
Port,Unclear,1872,3,,HNE
Port,Unclear,1873,3,,HNE
Port,Unclear,1877,3,,HNE
Port,Unclear,1881,3,,HNE
Port,Unclear,1887,3,,HNE
Port,Unclear,1890,3,,HNE
Port,Unclear,1893,3,,HNE
Port,Unclear,1895,3,,HNE
Port,Unclear,1900,5,,HNE
Port,Unclear,1908,5,,HNE
Port,Unclear,1912,5,,HNE
Port,Unclear,1927,5,,HNE
Port,Unclear,1904,4,,HNE
Port,Unclear,1920,4,,HNE
Port,Unclear,1924,4,,HNE
Port,Unclear,1910,3,,HNE
Port,Unclear,1911,3,,HNE
Port,Unclear,1917,3,,HNE
Port,Unclear,1922,3,,HNE
Port,Unclear,1931,5,,HNE
Port,Unclear,1935,5,,HNE
Port,Unclear,1945,5,,HNE
Port,Unclear,1934,4,,HNE
Port,Unclear,1944,4,,HNE
Port,Unclear,1947,4,,HNE
Port,Unclear,1948,4,,HNE
Port,Unclear,1933,3,,HNE
Port,Unclear,1942,3,,HNE
Port,Unclear,1955,5,,HNE
Port,Unclear,1963,5,,HNE
