year	harvestdate
1802	20
1803	23.1
1804	31
1805	47
1806	24.9
1807	24
1808	28.8
1809	43.8
1810	31.8
1811	12.3
1812	36.1
1813	38.1
1814	35
1815	25.5
1816	55.2
1817	45.6
1818	21
1819	25.7
1820	37.6
1821	45.1
1822	0.3
1823	41.6
1824	41.6
1825	21.6
1826	30.9
1827	26
1828	28.3
1829	40.9
1830	26.7
1831	27.8
1832	32.8
1833	27.4
1834	18.1
1835	34.1
1836	35.5
1837	36.1
1838	37.8
1839	27.9
1840	23.8
1841	26.3
1842	14.6
1843	42.9
1844	23
1845	37.8
1846	12.6
1847	31.7
1848	28.3
1849	29.8
1850	38.8
1851	37.6
1852	31
1853	38.4
1854	31.9
1855	35.9
1856	36.3
1857	20.4
1858	22
1859	20.3
1860	40.1
1861	24.8
1862	21.9
1863	29.6
1864	31.6
1865	9.3
1866	32.8
1867	28.8
1868	11.9
1869	24.3
1870	17.2
1871	35
1872	31.4
1873	31.4
1874	25.3
1875	28.5
1876	34
1877	31.3
1878	35.8
1879	45
1880	31.6
1881	27.1
1882	33
1883	36.6
1884	30.1
1885	26.1
1886	30.1
1887	29.6
1888	37.2
1889	25.2
1890	33.2
1891	42.2
1892	22.6
1893	-1.4
1894	30.1
1895	24.1
1896	28.1
1897	21.1
1898	31.6
1899	27.6
1900	28.6
1901	16.1
1902	32
1903	36.6
1904	21.6
1905	24.6
1906	22.1
1907	34.1
1908	22.6
1909	33.1
1910	35.3
1911	12
1912	28.6
1913	32.6
1914	35.1
1915	17.2
1916	37.2
1917	12.4
1918	25.1
1919	28.1
1920	26.6
1921	23.1
1922	25.6
1923	27.1
1924	24.6
1925	23.6
1926	26.1
1927	23.6
1928	28.6
1929	25.1
1930	28.1
1931	27.6
1932	38.6
1933	28.6
1934	18.6
1935	32.6
1936	30.6
1937	20.6
1938	34.1
1939	44.1
1940	25.1
1941	36
1942	22.6
1943	22.6
1944	33.6
1945	17.1
1946	23.1
1947	16.1
1948	26.1
1949	23.6
1950	21.6
1951	37.1
1952	17.6
1953	23.6
1954	38.1
1955	32.1
1956	42.1
1957	32.1
1958	30.1
1959	16.1
1960	20.1
1961	25.1
1962	38.1
1963	36.1
1964	21.6
1965	42.1
1966	27.1
1967	30
1968	30.1
1969	35.1
1970	30.1
1971	18.1
1972	36.1
1973	24.1
1974	24.1
1975	24.6
1976	4.1
1977	34
1978	
1979	25
1980	39
1981	25
1982	18
1983	24
1984	33
1985	27
1986	26
1987	32
1988	23
1989	16
1990	19
1991	25
1992	18
1993	20
1994	21
1995	26
1996	20
1997	15
1998	19
1999	19
2000	14
2001	20
2002	18
2003	-13
