"year","region","colour.name","stars"
1969,"bordeaux","red",1.5
1969,"bordeaux","white",1.5
1969,"burgundy","red",5
1969,"burgundy","white",4
1970,"bordeaux","red",4
1970,"bordeaux","white",3
1970,"burgundy","red",1.5
1970,"burgundy","white",3
1971,"bordeaux","red",4
1971,"bordeaux","white",5
1971,"burgundy","red",4
1971,"burgundy","white",4
1972,"bordeaux","red",1.5
1972,"bordeaux","white",1.5
1972,"burgundy","red",3
1972,"burgundy","white",1.5
1973,"bordeaux","red",1.5
1973,"bordeaux","white",1.5
1973,"burgundy","red",1.5
1973,"burgundy","white",4
1974,"bordeaux","red",1.5
1974,"bordeaux","white",1.5
1974,"burgundy","red",1.5
1974,"burgundy","white",1.5
1975,"bordeaux","red",4
1975,"bordeaux","white",5
1975,"burgundy","red",1.5
1975,"burgundy","white",1.5
1976,"bordeaux","red",3
1976,"bordeaux","white",4
1976,"burgundy","red",3
1976,"burgundy","white",4
1977,"bordeaux","red",1.5
1977,"bordeaux","white",1.5
1977,"burgundy","red",1.5
1977,"burgundy","white",1.5
1978,"bordeaux","red",3
1978,"bordeaux","white",1.5
1978,"burgundy","red",5
1978,"burgundy","white",4
1979,"bordeaux","red",1.5
1979,"bordeaux","white",3
1979,"burgundy","red",3
1979,"burgundy","white",4
1980,"bordeaux","red",1.5
1980,"bordeaux","white",1.5
1980,"burgundy","red",3
1980,"burgundy","white",1.5
1981,"bordeaux","red",3
1981,"bordeaux","white",1.5
1981,"burgundy","red",1.5
1981,"burgundy","white",1.5
1982,"bordeaux","red",5
1982,"bordeaux","white",3
1982,"burgundy","red",1.5
1982,"burgundy","white",4
1983,"bordeaux","red",3
1983,"bordeaux","white",5
1983,"burgundy","red",3
1983,"burgundy","white",4
1984,"bordeaux","red",1.5
1984,"bordeaux","white",1.5
1984,"burgundy","red",1.5
1984,"burgundy","white",1.5
1985,"bordeaux","red",5
1985,"bordeaux","white",4
1985,"burgundy","red",5
1985,"burgundy","white",4
1986,"bordeaux","red",4
1986,"bordeaux","white",4
1986,"burgundy","red",4
1986,"burgundy","white",5
1987,"bordeaux","red",1.5
1987,"bordeaux","white",1.5
1987,"burgundy","red",3
1987,"burgundy","white",1.5
1988,"bordeaux","red",4
1988,"bordeaux","white",4
1988,"burgundy","red",5
1988,"burgundy","white",3
1989,"bordeaux","red",5
1989,"bordeaux","white",5
1989,"burgundy","red",4
1989,"burgundy","white",5
1990,"bordeaux","red",5
1990,"bordeaux","white",5
1990,"burgundy","red",5
1990,"burgundy","white",4
1991,"bordeaux","red",1.5
1991,"bordeaux","white",1.5
1991,"burgundy","red",1.5
1991,"burgundy","white",3
1992,"bordeaux","red",1.5
1992,"bordeaux","white",1.5
1992,"burgundy","red",3
1992,"burgundy","white",3
1993,"bordeaux","red",3
1993,"bordeaux","white",1.5
1993,"burgundy","red",4
1993,"burgundy","white",3
1994,"bordeaux","red",3
1994,"bordeaux","white",1.5
1994,"burgundy","red",3
1994,"burgundy","white",3
1995,"bordeaux","red",4
1995,"bordeaux","white",4
1995,"burgundy","red",4
1995,"burgundy","white",4
1996,"bordeaux","red",4
1996,"bordeaux","white",5
1996,"burgundy","red",4
1996,"burgundy","white",5
1997,"bordeaux","red",3
1997,"bordeaux","white",4
1997,"burgundy","red",4
1997,"burgundy","white",5
1998,"bordeaux","red",3
1998,"bordeaux","white",4
1998,"burgundy","red",4
1998,"burgundy","white",4
1999,"bordeaux","red",4
1999,"bordeaux","white",4
1999,"burgundy","red",5
1999,"burgundy","white",4
2000,"bordeaux","red",4
2000,"bordeaux","white",3
2000,"burgundy","red",3
2000,"burgundy","white",3
